title,Production company,Country,Language,Running time,Budget,Box office,Release date,overview,imdb,metascore,rotten_tomatoes,director,Produced by,Based on,cast,music,Distributed by,Cinematography,Edited by,Screenplay by
The Rescuers Down Under,"['Walt Disney Pictures', 'Walt Disney Feature Animation', 'Silver Screen Partners IV']",United States,English,77,,47400000,16/11/1990,"The R.A.S. agents, Miss Bianca and Bernard, race to Australia to save a little boy and a rare golden eagle from a murderous poacher.",6.9,70,70%,"['Hendel Butoy', 'Mike Gabriel']",Thomas Schumacher,"['Characters created', 'by', 'Margery Sharp']","['Bob Newhart', 'Eva Gabor', 'John Candy', 'Adam Ryen', 'George C. Scott', 'Tristan Rogers']",Bruce Broughton,Buena Vista Pictures,,Michael Kelly,"['Jim Cox', 'Karey Kirkpatrick', 'Byron Simpson', 'Joe Ranft']"
Beauty and the Beast,,United States,English,84,25000000,440100000,29/09/1991,A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.,8,95,94%,"['Gary Trousdale', 'Kirk Wise']",Don Hahn,"['Beauty and the Beast', 'by', 'Jeanne-Marie Leprince de Beaumont']","[""Paige O'Hara"", 'Robby Benson', 'Richard White', 'Jerry Orbach', 'David Ogden Stiers', 'Angela Lansbury', 'Rex Everhart', 'Jesse Corti']",Alan Menken,Buena Vista Pictures,,John Carnochan,Linda Woolverton
Aladdin,,United States,English,90,28000000,504100000,25/11/1992,A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,8,86,95%,"['John Musker', 'Ron Clements']","['John Musker', 'Ron Clements']",Aladdin and the Magic Lamp from One Thousand and One Nights,"['Scott Weinger', 'Robin Williams', 'Linda Larkin', 'Jonathan Freeman', 'Frank Welker', 'Gilbert Gottfried', 'Douglas Seale']",Alan Menken,Buena Vista Pictures,,"['Mark A. Hester', 'H. Lee Peterson']","['Ron Clements', 'John Musker', 'Ted Elliott', 'Terry Rossio']"
The Lion King,"['Walt Disney Pictures', 'Walt Disney Feature Animation']",United States,English,88,45000000,968500000,15/06/1994,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",8.5,88,93%,"['Roger Allers', 'Rob Minkoff']",Don Hahn,,"['Jonathan Taylor Thomas', 'Matthew Broderick', 'James Earl Jones', 'Jeremy Irons', 'Moira Kelly', 'Niketa Calame', 'Ernie Sabella', 'Nathan Lane', 'Robert Guillaume', 'Rowan Atkinson', 'Whoopi Goldberg', 'Cheech Marin', 'Jim Cummings', 'Madge Sinclair']",Hans Zimmer,Buena Vista Pictures,,Ivan Bilancio,"['Irene Mecchi', 'Jonathan Roberts', 'Linda Woolverton']"
A Goofy Movie,,United States,English,78,,35300000,07/04/1995,"When Max makes a preposterous promise to a girl he has a crush on, his chances to fulfilling it seem hopeless when he is dragged onto a cross-country trip with his embarrassing father, Goofy.",6.9,N/A,58%,Kevin Lima,Dan Rounds,"['Robert Taylor', 'Michael Peraza Jr.']","['Bill Farmer', 'Jason Marsden', 'Jim Cummings', 'Kellie Martin', 'Rob Paulsen', 'Wallace Shawn', 'Jenna von OÃ¿']",Carter Burwell,Buena Vista Pictures Distribution,,Gregory Perler,"['Jymn Magon', 'Chris Matheson', 'Brian Pimental']"
Pocahontas,"['Walt Disney Pictures', 'Walt Disney Feature Animation']",United States,English,81,55000000,346100000,23/06/1995,An English soldier and the daughter of an Algonquin chief share a romance when English colonists invade seventeenth century Virginia.,6.7,58,55%,"['Mike Gabriel', 'Eric Goldberg']",Jim Pentecost,Pocahontas,"['Irene Bedard', 'Mel Gibson', 'David Ogden Stiers', 'John Kassir', 'Russell Means', 'Christian Bale', 'Linda Hunt', 'Danny Mann', 'Billy Connolly', 'Frank Welker']",Alan Menken,Buena Vista Pictures,,H. Lee Peterson,"['Carl Binder', 'Susannah Grant', 'Philip LaZebnik']"
Toy Story,,United States,English,81,30000000,373000000,19/11/1995,A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.,8.3,95,100%,John Lasseter,"['Bonnie Arnold', 'Ralph Guggenheim']",,"['Tom Hanks', 'Tim Allen', 'Don Rickles', 'Jim Varney', 'Wallace Shawn', 'John Ratzenberger', 'Annie Potts', 'John Morris', 'Erik von Detten']",Randy Newman,Buena Vista Pictures Distribution,,"['Robert Gordon', 'Lee Unkrich']","['Joss Whedon', 'Andrew Stanton', 'Joel Cohen', 'Alec Sokolow']"
The Hunchback of Notre Dame,"['Walt Disney Pictures', 'Walt Disney Feature Animation']",United States,English,91,100000000,325300000,21/06/1996,"A deformed bell-ringer must assert his independence from a vicious government minister in order to help his friend, a gypsy dancer.",6.9,74,71%,"['Gary Trousdale', 'Kirk Wise']",Don Hahn,"['The Hunchback of Notre-Dame', 'by', 'Victor Hugo']","['Tom Hulce', 'Demi Moore', 'Tony Jay', 'Kevin Kline', 'Paul Kandel', 'Jason Alexander', 'Charles Kimbrough', 'Mary Wickes', 'David Ogden Stiers']",Alan Menken,Buena Vista Pictures,,Ellen Keneshea,"['Tab Murphy', 'Irene Mecchi', 'Bob Tzudiker', 'Noni White', 'Jonathan Roberts']"
Hercules,,United States,English,93,85000000,252700000,13/06/1997,The son of Zeus and Hera is stripped of his immortality as an infant and must become a true hero in order to reclaim it.,7.3,74,84%,"['Ron Clements', 'John Musker']","['Alice Dewey', 'Ron Clements', 'John Musker']",Heracles,"['Tate Donovan', 'Danny DeVito', 'James Woods', 'Susan Egan', 'Rip Torn']",Alan Menken,Buena Vista Pictures Distribution,,Tom Finan,"['Ron Clements', 'John Musker', 'Donald McEnery', 'Bob Shaw', 'Irene Mecchi']"
Mulan,"['Walt Disney Pictures', 'Walt Disney Feature Animation']",United States,English,87,90000000,304300000,19/06/1998,"To save her father from death in the army, a young maiden secretly goes in his place and becomes one of China's greatest heroines in the process.",7.6,71,86%,"['Barry Cook', 'Tony Bancroft']",Pam Coats,Ballad of Mulan by Guo Maoqian,"['Ming-Na Wen', 'Eddie Murphy', 'BD Wong', 'Miguel Ferrer', 'June Foray', 'James Hong', 'Pat Morita', 'George Takei']",Jerry Goldsmith,Buena Vista Pictures,,Michael Kelly,"['Rita Hsiao', 'Philip LaZebnik', 'Chris Sanders', 'Eugenia Bostwick-Singer', 'Raymond Singer']"
