title,Production company,Country,Language,Running time,Budget,Box office,Release date,imdb,metascore,rotten_tomatoes,Directed by,Produced by,Based on,Starring,Music by,Distributed by,Cinematography,Edited by,Screenplay by
The Rescuers Down Under,"['Walt Disney Pictures', 'Walt Disney Feature Animation', 'Silver Screen Partners IV']",United States,English,77,,47400000,16/11/1990,6.9,70,70%,"['Hendel Butoy', 'Mike Gabriel']",Thomas Schumacher,"['Characters created', 'by', 'Margery Sharp']","['Bob Newhart', 'Eva Gabor', 'John Candy', 'Adam Ryen', 'George C. Scott', 'Tristan Rogers']",Bruce Broughton,Buena Vista Pictures,,Michael Kelly,"['Jim Cox', 'Karey Kirkpatrick', 'Byron Simpson', 'Joe Ranft']"
White Fang,"['Walt Disney Pictures', 'Silver Screen Partners IV']",United States,English,107,14000000,34800000,18/01/1991,6.7,62,65%,Randal Kleiser,Markay Powell,"['White Fang', 'by', 'Jack London']","['Klaus Maria Brandauer', 'Ethan Hawke', 'Seymour Cassel', 'James Remar', 'Susan Hogan']","['Basil Poledouris', 'Hans Zimmer', '(additional music)']",Buena Vista Pictures,Tony Pierce-Roberts,Lisa Day,"['Jeanne Rosenberg', 'Nick Thiel', 'David Fallon']"
Shipwrecked,"['Walt Disney Pictures', 'AB Svensk Filmindustri']","['Norway', 'Sweden', 'United States']","['Norwegian', 'English']",93,8700000,15100000,03/10/1990,6.7,N/A,69%,Nils Gaup,"['John M. Jacobsen', 'Nigel Wooll']",,"['Stian Smestad', 'Gabriel Byrne']",Patrick Doyle,Buena Vista Pictures,Erling Thurmann-Andersen,Nils Pagh Andersen,
Wild Hearts Can't Be Broken,Walt Disney Pictures,United States,English,88,,7300000,24/05/1991,7.3,N/A,73%,Steve Miner,Matt Williams,"['A Girl and Five Brave Horses', 'by', 'Sonora Webster Carver']","['Gabrielle Anwar', 'Michael Schoeffling', 'Cliff Robertson']",Mason Daring,Buena Vista Pictures,Daryn Okada,Jon Poll,
The Rocketeer,,United States,English,108,35000000,46700000,21/06/1991,6.5,61,66%,Joe Johnston,"['Charles Gordon', 'Lawrence Gordon', 'Lloyd Levin']","['The Rocketeer', 'by', 'Dave Stevens']","['Bill Campbell', 'Alan Arkin', 'Jennifer Connelly', 'Timothy Dalton']",James Horner,Buena Vista Pictures,Hiro Narita,"['Michael A. Stevenson', 'Arthur Schmidt']","['Danny Bilson', 'Paul De Meo']"
Beauty and the Beast,,United States,English,84,25000000,440100000,29/09/1991,8,95,94%,"['Gary Trousdale', 'Kirk Wise']",Don Hahn,"['Beauty and the Beast', 'by', 'Jeanne-Marie Leprince de Beaumont']","[""Paige O'Hara"", 'Robby Benson', 'Richard White', 'Jerry Orbach', 'David Ogden Stiers', 'Angela Lansbury', 'Rex Everhart', 'Jesse Corti']",Alan Menken,Buena Vista Pictures,,John Carnochan,Linda Woolverton
Newsies,Walt Disney Pictures,United States,English,121,15000000,2800000,10/04/1992,7,46,39%,Kenny Ortega,Michael Finnell,,"['Christian Bale', 'Gabriel Damon', 'Luke Edwards', 'Max Casella', 'Michael Lerner', 'Marty Belafsky', 'Aaron Lohr', 'Trey Parker', 'Arvie Lowe, Jr.', 'Kevin Tighe', 'Charles Cioffi', 'Ele Keats', 'Jeffrey DeMunn', 'Deborra-Lee Furness', 'Ann-Margret', 'Robert Duvall']","['Alan Menken', 'J. A. C. Redford']",Buena Vista Pictures,Andrew Laszlo,William H. Reynolds,"['Bob Tzudiker', 'Noni White']"
"Honey, I Blew Up the Kid","['Walt Disney Pictures', 'Touchwood Pacific Partners']",United States,English,89,40000000,58700000,17/07/1992,4.9,50,40%,Randal Kleiser,"['Dawn Steel', 'Edward S. Feldman']","['Stuart Gordon', 'Brian Yuzna', 'Ed Naha']","['Rick Moranis', 'Marcia Strassman', 'Lloyd Bridges', 'Robert Oliveri', 'John Shea']",Bruce Broughton,Buena Vista Pictures,John Hora,"['Harry Hitner', 'Michael A. Stevenson']","['Garry Goodrow', 'Thom Eberhardt', 'Peter Elbling']"
The Mighty Ducks,"['Walt Disney Pictures', 'Avnetâ€“ Kerner Productions', 'Touchwood Pacific Partners']",United States,English,104,14000000,50800000,02/10/1992,6.5,46,23%,Stephen Herek,"['Jon Avnet', 'Jordan Kerner']",,"['Emilio Estevez', 'Joss Ackland', 'Lane Smith']",David Newman,Buena Vista Pictures,Thomas Del Ruth,"['Larry Brock', 'John F. Link']",
Aladdin,,United States,English,90,28000000,504100000,25/11/1992,8,86,95%,"['John Musker', 'Ron Clements']","['John Musker', 'Ron Clements']",Aladdin and the Magic Lamp from One Thousand and One Nights,"['Scott Weinger', 'Robin Williams', 'Linda Larkin', 'Jonathan Freeman', 'Frank Welker', 'Gilbert Gottfried', 'Douglas Seale']",Alan Menken,Buena Vista Pictures,,"['Mark A. Hester', 'H. Lee Peterson']","['Ron Clements', 'John Musker', 'Ted Elliott', 'Terry Rossio']"
The Muppet Christmas Carol,,United States,English,86,12000000,27200000,11/12/1992,7.7,64,76%,Brian Henson,"['Brian Henson', 'Martin G. Baker']","['A Christmas Carol', 'by', 'Charles Dickens']","['Kermit the Frog', 'Miss Piggy', 'The Great Gonzo', 'Rizzo the Rat', 'Fozzie Bear', 'Michael Caine', 'Dave Goelz', 'Steve Whitmire', 'Jerry Nelson', 'Frank Oz']",Miles Goodman,Buena Vista Pictures Distribution,John Fenner,Michael Jablow,Jerry Juhl
Homeward Bound: The Incredible Journey,Walt Disney Pictures,United States,English,84,,41800000,03/02/1993,6.9,N/A,87%,Duwayne Dunham,"['Jeffrey Chernov', 'Franklin R. Levy']","['The Incredible Journey', 'by', 'Sheila Burnford']","['Michael J. Fox', 'Don Ameche', 'Sally Field', 'Robert Hays', 'Kim Greist', 'Veronica Lauren', 'Kevin Chevalia', 'Benj Thall']",Bruce Broughton,Buena Vista Pictures,Reed Smoot,Jonathan P. Shaw,
A Far Off Place,"['Walt Disney Pictures', 'Amblin Entertainment', 'Touchwood Pacific Partners']",United States,English,108,,12900000,12/03/1993,6.6,N/A,45%,Mikael Salomon,"['Eva Monley', 'Elaine Sperber']","['A Story Like the Wind', 'and', 'A Far Off Place', 'by', 'Laurens van der Post']","['Reese Witherspoon', 'Ethan Randall', 'Jack Thompson', 'Maximilian Schell']",James Horner,Buena Vista Pictures,Juan Ruiz AnchÃ­a,Ray Lovejoy,"['Robert Caswell', 'Jonathan Hensleigh', 'Sally Robinson']"
The Adventures of Huck Finn,Walt Disney Pictures,United States,English,107,6500000,24100000,02/04/1993,6.2,N/A,73%,Stephen Sommers,"['John Baldecchi', 'Steve White']","['Adventures of Huckleberry Finn', 'by', 'Mark Twain']","['Elijah Wood', 'Courtney B. Vance', 'Robbie Coltrane', 'Jason Robards']",Bill Conti,Buena Vista Pictures,Janusz KamiÅ„ski,Bob Ducsay,Stephen Sommers
Hocus Pocus,Walt Disney Pictures,United States,English,96,28000000,44900000,16/07/1993,6.9,N/A,38%,Kenny Ortega,"['David Kirschner', 'Steven Haft']",,"['Bette Midler', 'Sarah Jessica Parker', 'Kathy Najimy', 'Omri Katz', 'Thora Birch', 'Vinessa Shaw']",John Debney,Buena Vista Pictures,Hiro Narita,Peter E. Berger,"['Mick Garris', 'Neil Cuthbert']"
Cool Runnings,Walt Disney Pictures,United States,English,98,17000000,154900000,01/10/1993,7,60,76%,Jon Turteltaub,"['Dawn Steel', 'Susan B. Landau', 'Jeffrey Bydalek']",,"['Leon Robinson', 'Doug E. Doug', 'Rawle D. Lewis', 'Malik Yoba', 'John Candy']",Hans Zimmer,Buena Vista Pictures,Phedon Papamichael,Bruce Green,"['Lynn Siefert', 'Tommy Swerdlow', 'Michael Goldberg']"
The Three Musketeers,"['Walt Disney Pictures', 'Caravan Pictures', 'Avnetâ€“Kerner Productions (uncredited)']","['United States', 'Austria']",English,105,30000000,53900000,12/11/1993,5.7,35,26%,Stephen Herek,"['Roger Birnbaum', 'Joe Roth', 'Jon Avnet']",['by'],"['Charlie Sheen', 'Kiefer Sutherland', ""Chris O'Donnell"", 'Oliver Platt', 'Tim Curry', 'Rebecca De Mornay']",Michael Kamen,Buena Vista Pictures,Dean Semler,John F. Link,David Loughery
Iron Will,Walt Disney Pictures,United States,English,108,,21000000,14/01/1994,6.6,56,62%,Charles Haid,"['Patrick J. Palmer', 'James Ployhar', 'Robert Schwartz', 'George Zepp']",,"['Mackenzie Astin', 'Kevin Spacey', 'David Ogden Stiers']",Joel McNeely,Buena Vista Pictures,William Wages,Andrew Doerfer,
Blank Check,Walt Disney Pictures,United States,English,94,13000000,30600000,11/02/1994,5.3,42,9%,Rupert Wainwright,"['Gary Adelson', 'Craig Baumgarten', 'Tony Shimkin']",,"['Brian Bonsall', 'Karen Duffy', 'Miguel Ferrer', 'Michael Lerner', 'Tone LÅc', 'James Rebhorn', 'Jayne Atkinson']",Nicholas Pike,Buena Vista Pictures,Bill Pope,"['Hubert de la Bouillerie', 'Jill Savitt']",
D2: The Mighty Ducks,"['Walt Disney Pictures', 'Avnetâ€“Kerner Productions']",United States,English,106,,45600000,25/03/1994,6.1,N/A,20%,Sam Weisman,"['Jon Avnet', 'Jordan Kerner']","['Characters', 'by Steven Brill']","['Emilio Estevez', 'Michael Tucker', 'Jan RubeÅ¡', 'Kathryn Erbe']",J. A. C. Redford,Buena Vista Pictures,Mark Irwin,"['John F. Link', 'Eric Sears']",
White Fang 2: Myth of the White Wolf,Walt Disney Pictures,United States,English,102,,8878839,15/04/1994,5.4,N/A,71%,Ken Olin,Preston Fischer,,"['Scott Bairstow', 'Charmaine Craig', 'Alfred Molina', 'Geoffrey Lewis']",John Debney,Buena Vista Pictures,Hiro Narita,Elba Sanchez-Short,
The Lion King,"['Walt Disney Pictures', 'Walt Disney Feature Animation']",United States,English,88,45000000,968500000,15/06/1994,8.5,88,93%,"['Roger Allers', 'Rob Minkoff']",Don Hahn,,"['Jonathan Taylor Thomas', 'Matthew Broderick', 'James Earl Jones', 'Jeremy Irons', 'Moira Kelly', 'Niketa Calame', 'Ernie Sabella', 'Nathan Lane', 'Robert Guillaume', 'Rowan Atkinson', 'Whoopi Goldberg', 'Cheech Marin', 'Jim Cummings', 'Madge Sinclair']",Hans Zimmer,Buena Vista Pictures,,Ivan Bilancio,"['Irene Mecchi', 'Jonathan Roberts', 'Linda Woolverton']"
Angels in the Outfield,"['Walt Disney Pictures', 'Caravan Pictures']",United States,English,102,31000000,50200000,15/07/1994,6.2,44,33%,William Dear,"['Irby Smith', 'Joe Roth', 'Roger Birnbaum']","['Angels in the Outfield', 'by', 'Dorothy Kingsley', 'George Wells']","['Danny Glover', 'Tony Danza', 'Brenda Fricker', 'Ben Johnson', 'Jay O. Sanders', 'Christopher Lloyd']",Randy Edelman,Buena Vista Pictures,Matthew F. Leonetti,Bruce Green,Holly Goldberg Sloan
Squanto: A Warrior's Tale,Walt Disney Pictures,"['United States', 'Canada']",English,102,,3337685,28/10/1994,6,N/A,60%,Xavier Koller,Kathryn F. Galan,,"['Adam Beach', 'Michael Gambon', 'Nathaniel Parker', 'Mandy Patinkin']",Joel McNeely,Buena Vista Pictures,Robbie Greenberg,"['Lisa Day', 'Gillian Hutshing']",
The Santa Clause,"['Walt Disney Pictures', 'Hollywood Pictures', 'Outlaw Productions']",United States,English,97,22000000,189800000,11/11/1994,6.5,57,72%,John Pasquin,"['Robert Newmyer', 'Brian Reilly', 'Jeffrey Silver']",,"['Tim Allen', 'Wendy Crewson', 'David Krumholtz', 'Judge Reinhold', 'Eric Lloyd', 'Peter Boyle']",Michael Convertino,Buena Vista Pictures,Walt Lloyd,Larry Bock,
Rudyard Kipling's The Jungle Book,,United States,English,111,30000000,43200000,25/12/1994,N/A,N/A,,Stephen Sommers,"['Edward S. Feldman', 'Raju Patel']","['The Jungle Book', 'and', 'The Second Jungle Book', 'by', 'Rudyard Kipling']","['Jason Scott Lee', 'Cary Elwes', 'Lena Headey', 'Sam Neill', 'John Cleese']",Basil Poledouris,"['Buena Vista Pictures', '(North America and other select territories)', 'MDP Worldwide', '(all other territories)']",Juan Ruiz AnchÃ­a,Bob Ducsay,"['Stephen Sommers', 'Ronald Yanover', 'Mark Geldman']"
Heavyweights,"['Walt Disney Pictures', 'Caravan Pictures']",United States,English,100,,17600000,17/02/1995,6.7,42,29%,Steven Brill,"['Roger Birnbaum', 'Joe Roth', 'Morgan Michael Fottrell', 'Charles J.D. Schlissel', 'Judd Apatow', 'Jack Giarraputo']",,"['Tom McGowan', 'Aaron Schwartz', 'Shaun Weiss', 'Tom Hodges', 'Leah Lail', 'Paul Feig', 'Kenan Thompson', 'David Bowe', 'Max Goldblatt', 'Robert Zalkind', 'Patrick LaBrecque', 'Jeffrey Tambor', 'Jerry Stiller', 'Anne Meara', 'Ben Stiller']",J. A. C. Redford,Buena Vista Pictures,Victor Hammer,C. Timothy O'Meara,
Man of the House,"['Walt Disney Pictures', 'All Girl Productions', 'Orr & Cruickshank Productions']",United States,English,96,22000000,40070995,03/03/1995,5.4,35,9%,James Orr,"['Bonnie Bruckheimer', 'Marty Katz']",,"['Chevy Chase', 'Farrah Fawcett', 'Jonathan Taylor Thomas', 'George Wendt']",Mark Mancina,Buena Vista Pictures,Jamie Anderson,Harry Keramidas,"['James Orr', 'Jim Cruickshank']"
Tall Tale,"['Walt Disney Pictures', 'Caravan Pictures']",United States,English,98,32000000,11000000,24/03/1995,5.9,N/A,50%,Jeremiah S. Chechik,"['Roger Birnbaum', 'Joe Roth']",,"['Scott Glenn', 'Oliver Platt', 'Nick Stahl', 'Stephen Lang', 'Roger Aaron Brown', ""Catherine O'Hara"", 'Patrick Swayze']",Randy Edelman,Buena Vista Pictures,Janusz KamiÅ„ski,Richard Chew,
A Goofy Movie,,United States,English,78,,35300000,07/04/1995,6.9,N/A,58%,Kevin Lima,Dan Rounds,"['Robert Taylor', 'Michael Peraza Jr.']","['Bill Farmer', 'Jason Marsden', 'Jim Cummings', 'Kellie Martin', 'Rob Paulsen', 'Wallace Shawn', 'Jenna von OÃ¿']",Carter Burwell,Buena Vista Pictures Distribution,,Gregory Perler,"['Jymn Magon', 'Chris Matheson', 'Brian Pimental']"
Pocahontas,"['Walt Disney Pictures', 'Walt Disney Feature Animation']",United States,English,81,55000000,346100000,23/06/1995,6.7,58,55%,"['Mike Gabriel', 'Eric Goldberg']",Jim Pentecost,Pocahontas,"['Irene Bedard', 'Mel Gibson', 'David Ogden Stiers', 'John Kassir', 'Russell Means', 'Christian Bale', 'Linda Hunt', 'Danny Mann', 'Billy Connolly', 'Frank Welker']",Alan Menken,Buena Vista Pictures,,H. Lee Peterson,"['Carl Binder', 'Susannah Grant', 'Philip LaZebnik']"
Operation Dumbo Drop,"['Walt Disney Pictures', 'Interscope Communications', 'PolyGram Filmed Entertainment']",,"['English', 'Vietnamese']",108,24000000,24670346,28/07/1995,5.1,48,31%,Simon Wincer,"['Diane Nabatoff', 'David Madden']",,"['Danny Glover', 'Ray Liotta', 'Denis Leary', 'Doug E. Doug', 'Corin Nemec']",David Newman,Buena Vista Pictures,Russell Boyd,O. Nicholas Brown,"['Gene Quintano', 'Jim Kouf']"
A Kid in King Arthur's Court,"['Walt Disney Pictures', 'Trimark Pictures', 'Tapestry Films']","['United Kingdom', 'United States']",English,89,15000000,13400000,11/08/1995,4.7,34,5%,Michael Gottlieb,"['Peter Abrams', 'J.P. Guerin', 'Robert L. Levy']",,"['Thomas Ian Nicholas', 'Joss Ackland', 'Art Malik']",J. A. C. Redford,"['Buena Vista Pictures', '(United States)', 'Trimark Pictures (International)']",LÃ¡szlÃ³ GÃ¡rdonyi,"['Anita Brandt-Burgoyne', 'Michael Ripps']",
The Big Green,"['Walt Disney Pictures', 'Caravan Pictures', 'Roger Birnbaum Productions']",United States,English,99,12000000,17700000,29/09/1995,5.6,N/A,0%,Holly Goldberg Sloan,"['Dennis Bishop', 'Roger Birnbaum']",,"['Steve Guttenberg', ""Olivia d'Abo"", 'Jay O. Sanders']",Randy Edelman,Buena Vista Pictures,Ralf D. Bode,John F. Link,
Frank and Ollie,"['Walt Disney Pictures', 'Theodore Thomas Productions']",United States,English,89,,,22/01/1995,7.8,N/A,88%,Theodore Thomas,"['Kuniko Okubo', 'Theodore Thomas']",,"['Frank Thomas', 'Ollie Johnston']",John Reynolds,Buena Vista Pictures,Erik Daarstad,Kathryn Camp,
